method;file;original_size;compressed_size;conclusion;
ari;test_1;13;41;OK;3,153846154
ari;test_2;13095;8051;OK;0,614814815
ari;test_3;226304;174965;OK;0,773141438
ari;test_4;0;8;OK;
ari;test_5;1000000;433685;OK;0,433685
ari;test_6;1000000;10;OK;0,00001
ari;test_7;1000000;228221;OK;0,228221
;;;;;
;;3239412;844981;;
;;;0,260843943;;0,867286401
