method;file;original_size;compressed_size;conclusion;
ari;test_1;14;24;OK;1,714285714
ari;test_2;13245;8056;OK;0,608229521
ari;test_3;226304;193256;OK;0,853966346
ari;test_4;0;10;OK;
ari;test_5;1000000;432471;OK;0,432471
ari;test_6;1000000;29;OK;0,000029
ari;test_7;1000000;499172;OK;0,499172
;;;;;
;;;;;0,684692264
